id,priceETH,timestamp,transactionHash,collection_id,collection_name
0x00001afebd5fae7d07a963319391600bab16dba4ab7108ee947194650551774d-293,0.006,1666152395,0x00001afebd5fae7d07a963319391600bab16dba4ab7108ee947194650551774d,0x7bc25283a29a3888cab4555ea86ff1a8c18cc90a,Set In Merge
0x00001edd792e5e5078720c35c811fbdd9898c49169ba4ad7b1b7fbce38591670-273,4,1669719191,0x00001edd792e5e5078720c35c811fbdd9898c49169ba4ad7b1b7fbce38591670,0x33fd426905f149f8376e227d0c9d3340aad17af1,
0x000020fd74ccd7b670e376bb70c9166965a8d0808e00c9dab9847063ed3261d1-42,0.0147,1666494947,0x000020fd74ccd7b670e376bb70c9166965a8d0808e00c9dab9847063ed3261d1,0xa91cc74cd5a42a29919e476afc569d1612ef6e99,Idamura
0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8-97,0.0099,1676388131,0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8,0x82c28f825f8a9d551b54f4531d85137925d8ba79,Division
0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8-98,0.0099,1676388131,0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8,0x82c28f825f8a9d551b54f4531d85137925d8ba79,Division
0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8-639-0,0.02,1657892558,0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8,0xca850e26ffe8cc8294a7e9ccea30f3eedd98edd6,MISFITS
0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8-639-1,0.02,1657892558,0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8,0xca850e26ffe8cc8294a7e9ccea30f3eedd98edd6,MISFITS
0x000029ca53047c38d64732afa0706a2a60215c8198dc3343cc1fbb958f7d1b32-185,0.0022,1661672009,0x000029ca53047c38d64732afa0706a2a60215c8198dc3343cc1fbb958f7d1b32,0x912c76afc53d7ad397d1bb6e03481e14a3b0c217,Fatal Airdrop
0x00002a13d860ce3293070c23805e570dce1f6976051ac38be713dc729f5c273d-453,0.01543,1676332931,0x00002a13d860ce3293070c23805e570dce1f6976051ac38be713dc729f5c273d,0x018befb7d1f3e84948466ef15cc46baf9ba5295f,Verb
0x00002a7856d45cefc0f982a117dc0d3b26cc84321f3c68fc90dea604b231c70b-336,0.286599,1673218439,0x00002a7856d45cefc0f982a117dc0d3b26cc84321f3c68fc90dea604b231c70b,0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51,WebbLand
0x00002dcc398583057e99182766887afac25b08a079044c5ece36e5768204f3db-336,0.00089,1663321055,0x00002dcc398583057e99182766887afac25b08a079044c5ece36e5768204f3db,0xe362e7265aebc0dd25c1eb7de339692c20a869b0,Meow Meow
0x00002ef004bfb47597d2500e6f3f6f8068c02b19b90e578e7f9a1048bebbde45-259,0.04,1673657891,0x00002ef004bfb47597d2500e6f3f6f8068c02b19b90e578e7f9a1048bebbde45,0x369443a0e62889646b338498d87316252bb5f8c7,DeadDegens
