id,name,symbol,totalSupply,tradeCount,creatorRevenueETH,totalRevenueETH
0x00536a74b1c62b3f2f44ffbbf9c76cd71b32ec3a,Dreams: Humanoids,DREAMS,106,84,0.03483513174073993,0.04802822924079548
0x00536fbd116bdb545b6364d00c84745993fc736f,,,,41,0.260985000000000009,0.381220000000000009
0x005411b5806229e6498df15a6df173bf8fc2be18,Ghosts On Bitcoin,GOB,19,7,0.055450000000000002,0.056205000000000002
0x00564311feae30705f550534d4184382402ea9fe,Chris Lake,LAKE,,1,0.01,0.0125
0x005b7c5a12d7bc8346d7427b093f579d3ff0eede,OwlsOfBushido,OWLS,113,128,0.014752899998900001,0.046390447218572201
0x005c0a6ace062d0d8288182aee588bdce915691a,MagicalMutts,MM,1111,66,0.008575000000000058,0.177112500000000058
0x005c1cfc36e5ec711bcac7eddbde7898fb332b47,Cloud10 Open Edition by Diplo x FriendsWithYou,CLOUDOPENEDITIONBYDIPLOXFRIENDSWITHYOU,262,6,0,0.02022500025
0x005d286a04910bcd8ccd4292697f11fda98311ab,Ray Ray,NFTASRR,13,1,0,0.003125
0x005e6b6776108f4c9e9c5c1259b9554036f8d55e,ProjectGPT,GPT,1691,21,0.002067000000000011,0.002408000000000011
0x005efb3633638dd0dd336ce671920bccb1ea82bd,Banned From The Internet by Slime Sunday,BANNEDFROMTHEINTERNETBYSLIMESUNDAY,16,1,1,1.25
0x00651d158ec40a02769e926985694daa1652fd1c,PUMA NitroPass,PUMApass,934,28,0.03407,0.0425875
0x006576647b64fa8234237a1b2b0e884c33776a5a,Ghost Skulls Afterworld,GSA,1624,11,0.01536,0.02016
0x00661858b4a0372705be6ccc4b1312e2839191da,the sons of btches,tsob,,137,0.080613390000000001,0.110321140000000001
0x00664377c6d191ef4e45380d00f4ce08297855af,REXBITS,RXBT,4321,47,0.000000000000000047,0.000000000000000047
0x0066504c088c8696f37bd938e1b63ca5f88512e8,GM,GM,,2,0.0382,0.04775
0x00685d893ba63f1986043c327f9f226aebc442b3,Emancipation,Loop,,6,0,0.0105
0x006af875fa1312fb2f71507bfa3ed95227fc43c4,AKC Bullshit,akcbullshit,,9,0.000000000000000001,0.026600000000000001
0x007029dfb0bc69df0303e48d3e458efa3db6d98f,SSA INTERNATIONAL,SSA,425,1076,0.905146182334139045,1.244949301024902971
0x007223708b82f8e94307c1b004f8c1bd9d26b232,Budweiser Royalty X Fase Yoda,ROYALTY,500,3,0.000000000000000001,0.001000000000000001
